Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,2,2,0,0
Mar 06,8,8,0,0
Mar 07,9,8,1,1
Mar 08,12,11,1,1
Mar 09,17,16,1,1
Mar 10,19,18,1,1
Mar 11,21,20,1,1
Mar 12,31,30,1,1
Mar 13,34,32,2,2
Mar 14,45,43,2,2
Mar 15,56,51,2,5
Mar 16,65,60,2,5
Mar 17,79,74,2,5
Mar 18,97,92,2,5
Mar 19,128,122,3,6
Mar 20,158,152,3,6
Mar 21,158,151,4,7
Mar 22,266,235,4,31
Mar 23,301,246,4,55
Mar 24,387,329,6,58
Mar 25,502,442,8,60
Mar 26,589,505,12,84
Mar 27,589,504,13,85
Mar 28,745,654,19,91
Mar 29,820,709,20,111
Mar 30,820,569,23,251
Mar 31,1054,787,27,267
Apr 01,1133,853,32,280
Apr 02,1265,973,36,292
Apr 03,1353,1045,42,308
Apr 04,1451,1129,43,322
Apr 05,1554,1228,46,326
Apr 06,1628,1250,53,378
Apr 07,1715,1317,60,398
Apr 08,1795,1372,65,423
Apr 09,1894,1450,79,444
Apr 10,1975,1518,82,457
Apr 11,2142,1613,89,529
Apr 12,2142,1584,90,558
Apr 13,2277,1664,98,613
Apr 14,2277,1616,102,661
Apr 15,2571,1863,112,708
Apr 16,2669,1916,122,753
Apr 17,2669,1880,123,789
Apr 18,2839,2022,132,817
Apr 19,2941,2098,134,843
Apr 20,3031,2152,142,879
Apr 21,3144,2153,151,991
Apr 22,3288,2257,159,1031
Apr 23,3435,2351,165,1084
Apr 24,3607,2455,176,1152
Apr 25,3780,2565,185,1215
Apr 26,3892,2593,192,1299
Apr 27,4003,2666,197,1337
Apr 28,4127,2758,207,1369
Apr 29,4285,2879,214,1406
Apr 30,4428,2954,218,1474
May 01,4532,3015,225,1517
May 02,4681,3124,237,1557
May 03,4783,3183,246,1600
May 04,4887,3185,260,1702
May 05,5020,3284,264,1736
May 06,5208,3411,273,1797
May 07,5371,3488,282,1883
May 08,5611,3659,293,1952
May 09,5776,3748,300,2028
May 10,6034,3972,305,2062
May 11,6278,4127,314,2151
May 12,6563,4382,319,2181
May 13,6879,4284,329,2595
May 14,7134,4396,353,2738
May 15,7479,4626,356,2853
May 16,7805,4908,363,2897
May 17,8068,5126,373,2942
May 18,8371,5364,382,3007
May 19,8809,5544,393,3265
May 20,9283,5947,403,3336
May 21,9931,6483,416,3448
May 22,10649,7154,433,3495
May 23,11353,7378,445,3975
May 24,12076,7892,452,4184
May 25,12628,8162,467,4466
May 26,13228,8577,484,4651
May 27,13933,9084,500,4849
