Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,2,2,0,0
Feb 26,2,2,0,0
Feb 27,5,5,0,0
Feb 28,7,7,0,0
Feb 29,10,10,0,0
Mar 01,14,14,0,0
Mar 02,18,18,0,0
Mar 03,24,24,0,0
Mar 04,29,29,0,0
Mar 05,43,41,0,2
Mar 06,66,64,0,2
Mar 07,81,79,0,2
Mar 08,104,102,0,2
Mar 09,131,129,0,2
Mar 10,182,178,0,4
Mar 11,246,242,0,4
Mar 12,361,356,1,5
Mar 13,504,497,1,7
Mar 14,655,648,1,7
Mar 15,860,853,1,7
Mar 16,1018,1007,3,11
Mar 17,1332,1319,4,13
Mar 18,1646,1633,4,13
Mar 19,2179,2164,6,15
Mar 20,2649,2634,6,15
Mar 21,2992,2975,8,17
Mar 22,3582,3557,16,25
Mar 23,4474,4444,21,30
Mar 24,5283,5246,28,37
Mar 25,5588,5548,31,40
Mar 26,6909,6748,49,161
Mar 27,7697,7414,58,283
Mar 28,8271,7978,68,293
Mar 29,8788,8223,86,565
Mar 30,9618,8874,108,744
Mar 31,10180,8957,128,1223
Apr 01,10711,9129,146,1582
Apr 02,11129,9222,158,1907
Apr 03,11524,9334,168,2190
Apr 04,11781,9088,186,2693
Apr 05,12051,8849,204,3202
Apr 06,12297,8614,220,3683
Apr 07,12639,8350,243,4289
Apr 08,12942,8157,273,4785
Apr 09,13244,7709,295,5535
Apr 10,13560,7177,319,6383
Apr 11,13806,6865,337,6941
Apr 12,13945,6608,350,7337
Apr 13,14041,6330,368,7711
Apr 14,14226,6209,384,8017
Apr 15,14350,5859,393,8491
Apr 16,14476,5080,410,9396
Apr 17,14595,4460,431,10135
Apr 18,14671,4014,443,10657
Apr 19,14749,3796,452,10953
Apr 20,14795,3694,470,11101
Apr 21,14873,3411,491,11462
Apr 22,14925,3087,510,11838
Apr 23,15002,2786,522,12216
Apr 24,15071,2669,530,12402
Apr 25,15148,2509,536,12639
Apr 26,15225,2401,542,12824
Apr 27,15274,2363,549,12911
Apr 28,15357,2208,569,13149
Apr 29,15402,2043,580,13359
Apr 30,15452,1961,584,13491
May 01,15531,1832,589,13699
May 02,15558,1782,596,13776
May 03,15597,1771,598,13826
May 04,15621,1705,600,13916
May 05,15650,1582,606,14068
May 06,15684,1437,608,14247
May 07,15752,1445,609,14307
May 08,15774,1324,614,14450
May 09,15833,1290,615,14543
May 10,15871,1262,618,14609
May 11,15882,1201,620,14681
May 12,15961,1190,623,14771
May 13,15997,1069,624,14928
May 14,16058,1027,626,15031
May 15,16109,1010,628,15099
May 16,16201,1048,629,15153
May 17,16242,1050,629,15192
May 18,16269,1026,629,15243
May 19,16321,1011,632,15310
May 20,16353,838,633,15515
May 21,16404,820,633,15584
May 22,16436,796,635,15640
May 23,16486,810,639,15676
May 24,16503,800,640,15703
May 25,16539,760,641,15779
May 26,16557,732,643,15825
May 27,16591,718,645,15873
May 28,16628,674,668,15954
May 29,16655,640,668,16015
May 30,16685,497,668,16188
May 31,16731,470,668,16261
Jun 01,16733,469,668,16264
Jun 02,16759,461,669,16298
Jun 03,16771,429,670,16342
Jun 04,16805,418,670,16387
Jun 05,16843,429,672,16414
