Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,1,1,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,2,2,0,0
Mar 01,2,2,0,0
Mar 02,2,2,0,0
Mar 03,2,2,0,0
Mar 04,3,3,0,0
Mar 05,8,8,0,0
Mar 06,13,13,0,0
Mar 07,19,19,0,0
Mar 08,25,25,0,0
Mar 09,25,25,0,0
Mar 10,34,34,0,0
Mar 11,52,52,0,0
Mar 12,77,77,0,0
Mar 13,151,150,0,1
Mar 14,151,150,0,1
Mar 15,200,198,0,2
Mar 16,234,232,0,2
Mar 17,346,343,1,3
Mar 18,529,523,4,6
Mar 19,640,631,7,9
Mar 20,970,957,11,13
Mar 21,1178,1158,18,20
Mar 22,1546,1519,25,27
Mar 23,1924,1888,34,36
Mar 24,2247,2199,46,48
Mar 25,2554,2493,59,61
Mar 26,2985,2902,77,83
Mar 27,3417,3319,92,98
Mar 28,3904,3784,114,120
Mar 29,4256,4114,136,142
Mar 30,4630,4347,163,283
Mar 31,5717,5389,201,328
Apr 01,6880,6511,242,369
Apr 02,8044,7593,324,451
Apr 03,9194,8704,363,490
Apr 04,10360,9788,445,572
Apr 05,11254,10641,486,613
Apr 06,12183,11492,564,691
Apr 07,14034,13221,686,813
Apr 08,16188,15241,820,947
Apr 09,18145,17018,954,1127
Apr 10,19789,18548,1068,1241
Apr 11,20962,19649,1140,1313
Apr 12,22192,20796,1223,1396
Apr 13,23430,21929,1328,1501
Apr 14,25262,9704,1532,15558
Apr 15,28610,12827,1757,15783
Apr 16,30683,14710,1947,15973
Apr 17,33682,17515,2141,16167
Apr 18,36722,20335,2361,16387
Apr 19,38654,14062,2462,24592
Apr 20,40743,16026,2587,24717
Apr 21,43079,16013,2741,27066
Apr 22,45757,17533,2906,28224
Apr 23,49492,19606,3313,29886
Apr 24,52995,21670,3670,31325
Apr 25,59196,25991,4045,33205
Apr 26,62859,28436,4271,34423
Apr 27,66501,30816,4543,35685
Apr 28,72899,35292,5063,37607
Apr 29,79361,39718,5511,39643
Apr 30,85380,43544,5901,41836
May 01,92109,47660,6410,44449
May 02,96559,48872,6750,47687
May 03,101147,51131,7025,50016
May 04,108266,55108,7343,53158
May 05,114715,58573,7921,56142
May 06,126611,66653,8588,59958
May 07,135693,71155,9188,64538
May 08,145892,76603,9992,69289
May 09,156061,83720,10656,72341
May 10,162699,86619,11123,76080
May 11,169143,90134,11625,79009
May 12,177602,92601,12404,85001
May 13,189157,97575,13158,91582
May 14,202918,109446,13993,93472
May 15,218223,118436,14817,99787
May 16,233142,127837,15633,105305
May 17,241080,130840,16118,110240
May 18,255368,138056,16853,117312
May 19,271885,147108,17983,124777
May 20,293357,157780,18894,135577
May 21,310921,164879,20082,146042
May 22,330890,174412,21048,156478
May 23,347398,182798,22013,164600
May 24,363618,190991,22716,172627
May 25,376669,199314,23522,177355
May 26,392360,209218,24549,183142
May 27,414661,222317,25697,192344
May 28,438812,218867,26764,219945
May 29,468338,247213,27944,221125
May 30,498440,264235,28834,234205
May 31,514849,278980,29314,235869
Jun 01,529405,288279,30046,241126
Jun 02,556668,284763,31278,271905
