Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,9,9,0,0
Mar 09,9,9,0,0
Mar 10,13,13,0,0
Mar 11,22,22,0,0
Mar 12,23,23,0,0
Mar 13,23,23,0,0
Mar 14,27,27,0,0
Mar 15,35,35,0,0
Mar 16,41,41,0,0
Mar 17,50,50,0,0
Mar 18,69,68,1,1
Mar 19,87,86,1,1
Mar 20,113,109,2,4
Mar 21,117,113,2,4
Mar 22,134,130,2,4
Mar 23,158,154,2,4
Mar 24,177,173,2,4
Mar 25,201,197,2,4
Mar 26,231,227,2,4
Mar 27,263,258,2,5
Mar 28,295,290,2,5
Mar 29,314,309,2,5
Mar 30,330,324,2,6
Mar 31,347,341,2,6
Apr 01,375,369,2,6
Apr 02,396,388,2,8
Apr 03,416,403,2,13
Apr 04,435,420,2,15
Apr 05,454,436,2,18
Apr 06,467,447,2,20
Apr 07,483,457,2,26
Apr 08,502,470,3,32
Apr 09,539,506,3,33
Apr 10,558,513,3,45
Apr 11,577,525,3,52
Apr 12,595,536,3,59
Apr 13,612,547,3,65
Apr 14,618,549,3,69
Apr 15,626,555,4,71
Apr 16,642,564,4,78
Apr 17,649,557,4,92
Apr 18,655,554,4,101
Apr 19,660,543,5,117
Apr 20,662,532,6,130
Apr 21,669,513,6,156
Apr 22,681,495,6,186
Apr 23,686,484,6,202
Apr 24,687,465,6,222
Apr 25,693,445,6,248
Apr 26,695,425,6,270
Apr 27,697,404,6,293
Apr 28,705,393,6,312
Apr 29,713,384,6,329
Apr 30,719,375,6,344
May 01,725,364,6,361
May 02,733,355,6,378
May 03,739,347,6,392
May 04,742,337,6,405
May 05,755,336,6,419
May 06,761,327,6,434
May 07,765,314,6,451
May 08,773,306,6,467
May 09,780,294,6,486
May 10,792,285,6,507
May 11,801,277,7,524
May 12,804,277,7,527
May 13,815,281,7,534
May 14,830,287,8,543
May 15,843,292,9,551
May 16,853,292,10,561
May 17,863,288,10,575
May 18,866,281,10,585
May 19,882,295,10,587
May 20,897,305,10,592
May 21,903,301,10,602
May 22,911,301,10,610
May 23,918,301,10,617
May 24,930,300,10,630
May 25,951,313,10,638
May 26,956,312,10,644
May 27,984,335,10,649
May 28,1000,344,10,656
May 29,1022,359,10,663
May 30,1047,379,10,668
May 31,1056,377,10,679
Jun 01,1084,398,10,686
Jun 02,1105,413,10,692
Jun 03,1157,462,10,695
Jun 04,1194,497,10,697
Jun 05,1228,523,10,705
Jun 06,1263,552,10,711
Jun 07,1318,604,10,714
Jun 08,1342,620,10,722
Jun 09,1375,647,11,728
Jun 10,1461,727,12,734
Jun 11,1538,804,12,734
Jun 12,1612,869,12,743
Jun 13,1662,907,12,755
Jun 14,1715,951,12,764
Jun 15,1744,961,12,783
Jun 16,1796,990,12,806
Jun 17,1871,960,12,911
Jun 18,1939,990,12,949
