Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,2,2,0,0
Mar 03,2,2,0,0
Mar 04,2,2,0,0
Mar 05,2,2,0,0
Mar 06,4,4,0,0
Mar 07,4,4,0,0
Mar 08,6,6,0,0
Mar 09,19,19,0,0
Mar 10,27,25,0,2
Mar 11,34,31,1,3
Mar 12,34,30,1,4
Mar 13,69,60,4,9
Mar 14,96,83,5,13
Mar 15,117,104,5,13
Mar 16,134,121,5,13
Mar 17,172,156,7,16
Mar 18,227,197,19,30
Mar 19,309,269,25,40
Mar 20,369,320,32,49
Mar 21,450,392,38,58
Mar 22,514,437,48,77
Mar 23,579,500,49,79
Mar 24,686,601,55,85
Mar 25,790,701,58,89
Mar 26,893,780,78,113
Mar 27,1046,913,87,133
Mar 28,1155,994,102,161
Mar 29,1285,1107,114,178
Mar 30,1414,1217,122,197
Mar 31,1528,1311,136,217
Apr 01,1677,1417,157,260
Apr 02,1790,1508,170,282
Apr 03,1986,1671,181,315
Apr 04,2092,1751,191,341
Apr 05,2273,1911,198,362
Apr 06,2491,2090,209,401
Apr 07,2738,2313,221,425
Apr 08,2956,2494,240,462
Apr 09,3293,2761,280,532
Apr 10,3512,2924,306,588
Apr 11,3842,3229,327,613
Apr 12,4241,3509,373,732
Apr 13,4557,3778,399,779
Apr 14,4839,3954,459,885
Apr 15,5136,4221,469,915
Apr 16,5516,4472,496,1044
Apr 17,5923,4796,520,1127
Apr 18,6248,5082,535,1166
Apr 19,6575,5307,582,1268
Apr 20,6760,5423,590,1337
Apr 21,7135,5677,616,1458
Apr 22,7418,5870,635,1548
Apr 23,7775,6168,647,1607
Apr 24,8211,6520,689,1691
Apr 25,8607,6845,720,1762
Apr 26,8882,7032,743,1850
Apr 27,9096,7180,765,1916
Apr 28,9511,7484,773,2027
Apr 29,9771,7596,784,2175
Apr 30,10118,7804,792,2314
May 01,10551,8160,800,2391
May 02,10843,8347,831,2496
May 03,11192,8471,845,2721
May 04,11587,8769,864,2818
May 05,12071,9002,872,3069
May 06,12438,9226,895,3212
May 07,12776,9465,930,3311
May 08,13112,9675,943,3437
May 09,13645,10079,959,3566
May 10,14032,10361,973,3671
May 11,14265,10393,991,3872
May 12,14749,10679,1007,4070
May 13,15438,11123,1028,4315
May 14,16006,11445,1043,4561
May 15,16496,11617,1076,4879
May 16,17025,12025,1089,5000
May 17,17514,12237,1148,5277
May 18,18010,12495,1191,5515
May 19,18496,12808,1221,5688
May 20,19189,13372,1242,5817
May 21,20162,14046,1278,6116
May 22,20796,14413,1326,6383
May 23,21745,15145,1351,6600
May 24,22271,15497,1372,6774
May 25,22750,15717,1391,7033
May 26,23165,15870,1418,7295
May 27,23851,16321,1473,7530
