Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,2,2,0,0
Mar 08,4,4,0,0
Mar 09,6,6,0,0
Mar 10,6,6,0,0
Mar 11,8,8,0,0
Mar 12,8,8,0,0
Mar 13,9,9,0,0
Mar 14,10,10,0,0
Mar 15,13,13,0,0
Mar 16,13,13,0,0
Mar 17,13,13,0,0
Mar 18,13,13,0,0
Mar 19,13,13,0,0
Mar 20,13,11,0,2
Mar 21,13,10,0,3
Mar 22,13,10,0,3
Mar 23,13,8,0,5
Mar 24,13,8,0,5
Mar 25,13,5,0,8
Mar 26,13,5,0,8
Mar 27,16,7,0,9
Mar 28,16,7,0,9
Mar 29,17,4,0,13
Mar 30,17,4,0,13
Mar 31,18,5,0,13
Apr 01,19,6,0,13
Apr 02,19,6,0,13
Apr 03,19,6,0,13
Apr 04,19,6,0,13
Apr 05,19,6,0,13
Apr 06,19,6,0,13
Apr 07,19,6,0,13
Apr 08,19,6,0,13
Apr 09,19,6,0,13
Apr 10,19,6,0,13
Apr 11,19,6,0,13
Apr 12,20,6,0,14
Apr 13,20,6,0,14
Apr 14,20,4,0,16
Apr 15,22,6,0,16
Apr 16,25,9,0,16
Apr 17,29,13,0,16
Apr 18,35,19,0,16
Apr 19,52,36,0,16
Apr 20,69,53,0,16
Apr 21,86,70,0,16
Apr 22,86,70,0,16
Apr 23,108,92,0,16
Apr 24,129,113,0,16
Apr 25,177,160,0,17
Apr 26,214,197,0,17
Apr 27,226,209,0,17
Apr 28,250,233,0,17
Apr 29,278,260,1,18
Apr 30,468,450,1,18
May 01,491,473,1,18
May 02,519,501,1,18
May 03,527,509,1,18
May 04,541,523,1,18
May 05,573,552,1,21
May 06,617,595,2,22
May 07,648,625,3,23
May 08,744,721,3,23
May 09,790,758,3,32
May 10,835,803,3,32
May 11,897,865,3,32
May 12,904,872,3,32
May 13,955,911,4,44
May 14,982,933,4,49
May 15,1031,978,4,53
May 16,1078,1016,4,62
May 17,1094,1032,4,62
May 18,1106,1044,4,62
May 19,1143,1048,4,95
May 20,1186,1091,4,95
May 21,1216,1121,4,95
May 22,1274,1161,4,113
May 23,1313,1181,4,132
May 24,1371,1223,4,148
May 25,1395,1236,4,159
May 26,1438,1236,5,202
May 27,1457,1255,5,202
May 28,1513,1311,5,202
May 29,1591,1389,5,202
May 30,1672,1261,5,411
May 31,1773,1315,5,458
Jun 01,1829,1335,6,494
Jun 02,1841,1226,7,615
Jun 03,1850,1199,7,651
Jun 04,1872,1217,7,655
Jun 05,1883,1159,7,724
Jun 06,1901,1130,8,771
Jun 07,1903,1068,8,835
Jun 08,1916,983,8,933
Jun 09,1942,924,8,1018
Jun 10,1962,833,8,1129
Jun 11,1976,815,8,1161
Jun 12,2003,802,8,1201
Jun 13,2013,788,8,1225
Jun 14,2035,716,8,1319
Jun 15,2065,517,8,1548
