Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,3,2,0,1
Feb 29,3,2,0,1
Mar 01,3,2,0,1
Mar 02,3,2,0,1
Mar 03,4,3,0,1
Mar 04,6,5,0,1
Mar 05,6,3,0,3
Mar 06,9,6,0,3
Mar 07,13,10,0,3
Mar 08,15,10,0,5
Mar 09,17,12,0,5
Mar 10,29,24,0,5
Mar 11,47,41,0,6
Mar 12,59,52,0,7
Mar 13,95,88,0,7
Mar 14,123,114,0,9
Mar 15,139,130,0,9
Mar 16,168,159,0,9
Mar 17,217,198,0,19
Mar 18,260,241,0,19
Mar 19,277,252,0,25
Mar 20,308,277,0,31
Mar 21,367,315,0,52
Mar 22,433,366,3,67
Mar 23,576,496,7,80
Mar 24,794,703,12,91
Mar 25,906,803,17,103
Mar 26,1029,912,23,117
Mar 27,1292,1151,26,141
Mar 28,1452,1276,37,176
Mar 29,1815,1566,43,249
Mar 30,2109,1835,65,274
Mar 31,2245,1943,82,302
Apr 01,2460,2116,92,344
Apr 02,2738,2356,115,382
Apr 03,3183,2767,133,416
Apr 04,3613,3138,146,475
Apr 05,3864,3339,151,525
Apr 06,4057,3475,176,582
Apr 07,4417,3760,197,657
Apr 08,4761,4013,220,748
Apr 09,5202,4307,248,895
Apr 10,5467,4468,270,999
Apr 11,5990,4941,291,1049
Apr 12,6300,5132,316,1168
Apr 13,6633,5388,331,1245
Apr 14,6879,5477,351,1402
Apr 15,7216,5627,372,1589
Apr 16,7707,5958,392,1749
Apr 17,8067,6148,411,1919
Apr 18,8418,6267,421,2151
Apr 19,8746,6403,451,2343
Apr 20,8936,6441,478,2495
Apr 21,9242,6591,498,2651
Apr 22,9710,6780,524,2930
Apr 23,10096,7073,545,3023
Apr 24,10417,7033,567,3384
Apr 25,10635,7144,601,3491
Apr 26,11036,7363,619,3673
Apr 27,11339,7557,641,3782
Apr 28,11616,7549,663,4067
Apr 29,11978,7716,693,4262
Apr 30,12240,7506,717,4734
May 01,12567,7495,744,5072
May 02,12732,7414,771,5318
May 03,13163,7504,790,5659
May 04,13512,7425,818,6087
May 05,13837,7542,841,6295
May 06,14107,7455,864,6652
May 07,14499,7467,888,7032
May 08,14811,7465,923,7346
May 09,15131,7280,939,7851
May 10,15362,7350,961,8012
May 11,15588,7361,982,8227
May 12,15778,7091,1002,8687
May 13,16002,7005,1036,8997
May 14,16247,6141,1053,10106
May 15,16437,5997,1070,10440
May 16,16704,6036,1094,10668
May 17,16871,5874,1107,10997
May 18,17036,5986,1120,11050
May 19,17191,5888,1137,11303
May 20,17387,5884,1147,11503
May 21,17585,5848,1156,11737
May 22,17712,5769,1166,11943
May 23,17857,5494,1176,12363
May 24,18070,5486,1185,12584
May 25,18283,5448,1205,12835
May 26,18429,5339,1216,13090
May 27,18594,5205,1227,13389
May 28,18791,4927,1235,13864
May 29,18982,4905,1248,14077
May 30,19133,4828,1259,14305
May 31,19257,4735,1266,14522
Jun 01,19398,4696,1276,14702
Jun 02,19517,4703,1288,14814
Jun 03,19669,4573,1296,15096
Jun 04,19907,4683,1305,15224
