Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,2,2,0,0
Mar 05,5,4,0,1
Mar 06,5,4,0,1
Mar 07,7,6,0,1
Mar 08,11,10,0,1
Mar 09,20,19,0,1
Mar 10,20,19,0,1
Mar 11,45,44,0,1
Mar 12,45,44,0,1
Mar 13,86,85,0,1
Mar 14,103,102,0,1
Mar 15,118,115,0,3
Mar 16,133,127,0,6
Mar 17,171,165,0,6
Mar 18,238,232,0,6
Mar 19,274,266,0,8
Mar 20,344,336,0,8
Mar 21,392,376,0,16
Mar 22,511,494,0,17
Mar 23,562,543,0,19
Mar 24,767,738,1,29
Mar 25,900,869,2,31
Mar 26,1012,976,3,36
Mar 27,1104,1066,3,38
Mar 28,1203,1162,4,41
Mar 29,1299,1225,8,74
Mar 30,1453,1330,8,123
Mar 31,1563,1388,10,175
Apr 01,1720,1440,16,280
Apr 02,1885,1536,21,349
Apr 03,2039,1663,25,376
Apr 04,2179,1730,29,449
Apr 05,2402,1880,34,522
Apr 06,2605,2016,38,589
Apr 07,2795,2139,41,656
Apr 08,2932,2260,41,672
Apr 09,3287,2577,44,710
Apr 10,3651,2919,47,732
Apr 11,4033,3261,52,772
Apr 12,4462,3642,59,820
Apr 13,4934,4064,65,870
Apr 14,5369,4407,73,962
Apr 15,5862,4852,79,1010
Apr 16,6380,5307,83,1073
Apr 17,7142,6006,87,1136
Apr 18,8274,6853,92,1421
Apr 19,9362,7867,97,1495
Apr 20,10484,8891,103,1593
Apr 21,11631,9882,109,1749
Apr 22,12772,10846,114,1926
Apr 23,13930,11884,121,2046
Apr 24,15102,12926,127,2176
Apr 25,16299,13948,136,2351
Apr 26,17522,15026,139,2496
Apr 27,18811,16136,144,2675
Apr 28,20077,17141,152,2936
Apr 29,21402,18292,157,3110
Apr 30,22753,19428,162,3325
May 01,24097,20373,169,3724
May 02,25459,21518,176,3941
May 03,27011,22693,184,4318
May 04,28656,23989,191,4667
May 05,30251,24620,200,5631
May 06,31938,24946,209,6992
May 07,33731,25714,219,8017
May 08,35432,26083,229,9349
May 09,37136,26753,239,10383
May 10,39048,27345,246,11703
May 11,41014,28022,255,12992
May 12,42925,27404,264,15521
May 13,44830,26935,273,17895
May 14,46869,27535,283,19334
May 15,49176,27015,292,22161
May 16,52016,28048,302,23968
May 17,54752,28718,312,26034
May 18,57345,28277,320,29068
May 19,59854,27891,329,31963
May 20,62545,28728,339,33817
May 21,65077,28686,351,36391
May 22,67719,28352,364,39367
May 23,70161,28546,379,41615
May 24,72560,28650,390,43910
May 25,74795,28728,399,46067
May 26,76726,27865,411,48861
May 27,78541,27094,425,51447
May 28,80185,25191,441,54994
May 29,81766,24295,458,57471
May 30,83384,24021,480,59363
May 31,85261,22316,503,62945
Jun 01,87142,22311,525,64831
Jun 02,89011,22672,549,66339
Jun 03,91182,22444,579,68738
Jun 04,93157,23581,611,69576
Jun 05,95748,24490,642,71258
Jun 06,98869,26402,676,72467
