Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,4,4,0,0
Mar 05,4,4,0,0
Mar 06,4,3,0,1
Mar 07,4,3,0,1
Mar 08,4,3,0,1
Mar 09,4,3,0,1
Mar 10,4,3,0,1
Mar 11,4,3,0,1
Mar 12,10,9,0,1
Mar 13,21,19,0,2
Mar 14,24,22,0,2
Mar 15,24,22,0,2
Mar 16,27,25,0,2
Mar 17,27,25,0,2
Mar 18,36,34,0,2
Mar 19,36,34,0,2
Mar 20,47,42,0,5
Mar 21,56,51,0,5
Mar 22,67,62,0,5
Mar 23,79,71,0,8
Mar 24,86,78,0,8
Mar 25,99,90,0,9
Mar 26,105,96,0,9
Mar 27,119,108,0,11
Mar 28,130,112,0,18
Mar 29,142,115,0,27
Mar 30,162,135,0,27
Mar 31,175,135,0,40
Apr 01,190,144,1,46
Apr 02,195,139,1,56
Apr 03,207,140,1,67
Apr 04,219,145,2,74
Apr 05,222,138,2,84
Apr 06,226,132,2,94
Apr 07,237,130,2,107
Apr 08,244,129,2,115
Apr 09,250,125,2,125
Apr 10,265,126,2,139
Apr 11,278,124,2,154
Apr 12,280,107,2,173
Apr 13,291,111,2,180
Apr 14,299,114,2,185
Apr 15,314,122,2,192
Apr 16,335,139,2,196
Apr 17,342,142,2,200
Apr 18,350,136,3,214
Apr 19,367,144,3,223
Apr 20,377,137,5,240
Apr 21,412,165,5,247
Apr 22,442,183,6,259
Apr 23,479,216,6,263
Apr 24,545,276,7,269
Apr 25,614,331,7,283
Apr 26,671,379,9,292
Apr 27,736,443,9,293
Apr 28,823,518,9,305
Apr 29,882,558,9,324
Apr 30,933,590,9,343
May 01,1024,659,9,365
May 02,1115,738,9,377
May 03,1182,801,9,381
May 04,1271,846,10,425
May 05,1329,848,11,481
May 06,1433,928,12,505
May 07,1492,917,13,575
May 08,1551,927,13,624
May 09,1634,974,17,660
May 10,1709,1040,19,669
May 11,1886,1152,19,734
May 12,1995,1234,19,761
May 13,2105,1302,21,803
May 14,2189,1324,23,865
May 15,2310,1395,25,915
May 16,2429,1455,25,974
May 17,2480,1482,25,998
May 18,2544,1442,26,1102
May 19,2617,1454,30,1163
May 20,2714,1498,30,1216
May 21,2812,1528,33,1284
May 22,2909,1565,33,1344
May 23,2976,1526,34,1450
May 24,3047,1556,35,1491
May 25,3130,1580,35,1550
May 26,3161,1560,36,1601
May 27,3253,1629,38,1624
