Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,2,2,0,0
Mar 10,5,5,0,0
Mar 11,18,18,0,0
Mar 12,24,24,0,0
Mar 13,35,35,0,0
Mar 14,46,46,0,0
Mar 15,48,47,0,1
Mar 16,57,56,0,1
Mar 17,72,71,0,1
Mar 18,89,88,0,1
Mar 19,103,102,0,1
Mar 20,135,132,1,3
Mar 21,171,168,1,3
Mar 22,222,218,2,4
Mar 23,249,243,3,6
Mar 24,303,285,3,18
Mar 25,384,365,4,19
Mar 26,457,435,7,22
Mar 27,528,478,8,50
Mar 28,659,607,10,52
Mar 29,741,686,13,55
Mar 30,785,727,16,58
Mar 31,900,835,23,65
Apr 01,1060,990,28,70
Apr 02,1171,1098,31,73
Apr 03,1476,1383,39,93
Apr 04,1624,1526,44,98
Apr 05,1908,1803,51,105
Apr 06,2200,2024,58,176
Apr 07,2447,2268,61,179
Apr 08,2666,2483,65,183
Apr 09,2867,2683,66,184
Apr 10,3105,2916,71,189
Apr 11,3380,3188,74,192
Apr 12,3630,3150,80,480
Apr 13,4054,3569,85,485
Apr 14,4465,3971,94,494
Apr 15,4873,4374,99,499
Apr 16,5318,4772,103,546
Apr 17,5690,5046,110,644
Apr 18,5994,5240,117,754
Apr 19,6318,5443,122,875
Apr 20,6630,5635,125,995
Apr 21,6890,5783,130,1107
Apr 22,7114,5955,134,1159
Apr 23,7276,6074,139,1202
Apr 24,7483,6245,144,1238
Apr 25,7779,6476,151,1303
Apr 26,8042,6704,156,1338
Apr 27,8275,6904,162,1371
Apr 28,8497,7069,168,1428
Apr 29,8724,7259,173,1465
Apr 30,9009,7487,179,1522
May 01,9205,7641,185,1564
May 02,9362,7747,189,1615
May 03,9464,7720,193,1744
May 04,9557,7786,197,1771
May 05,9677,7754,200,1923
May 06,9791,7617,203,2174
May 07,9848,7482,206,2366
May 08,9943,7281,209,2662
May 09,10032,7087,213,2945
May 10,10114,6893,215,3221
May 11,10176,6668,218,3508
May 12,10243,6423,220,3820
May 13,10295,6249,222,4046
May 14,10374,6066,224,4308
May 15,10438,5912,225,4526
May 16,10496,5789,228,4707
May 17,10610,5667,230,4943
May 18,10699,5669,231,5030
May 19,10733,5595,234,5138
May 20,10833,5531,235,5302
May 21,10919,5312,237,5607
May 22,11024,5246,237,5778
May 23,11092,5155,238,5937
May 24,11159,5064,238,6095
May 25,11193,5034,239,6159
May 26,11227,4921,239,6306
May 27,11275,4758,240,6517
