Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,3,3,0,0
Mar 08,5,5,0,0
Mar 09,7,7,0,0
Mar 10,7,7,0,0
Mar 11,10,10,0,0
Mar 12,21,21,0,0
Mar 13,32,32,0,0
Mar 14,44,44,0,0
Mar 15,61,61,0,0
Mar 16,72,72,0,0
Mar 17,97,97,0,0
Mar 18,105,105,0,0
Mar 19,124,124,0,0
Mar 20,137,137,0,0
Mar 21,178,171,0,7
Mar 22,185,178,0,7
Mar 23,186,179,0,7
Mar 24,204,197,0,7
Mar 25,216,209,0,7
Mar 26,226,224,0,2
Mar 27,269,267,0,2
Mar 28,292,290,0,2
Mar 29,314,312,0,2
Mar 30,336,329,0,7
Mar 31,363,360,0,3
Apr 01,400,396,1,4
Apr 02,426,420,1,6
Apr 03,450,441,1,9
Apr 04,471,462,1,9
Apr 05,485,476,1,9
Apr 06,534,524,2,10
Apr 07,581,566,2,15
Apr 08,682,664,2,18
Apr 09,701,676,2,25
Apr 10,715,690,2,25
Apr 11,728,703,2,25
Apr 12,742,717,2,25
Apr 13,769,660,2,109
Apr 14,835,720,2,115
Apr 15,863,706,6,157
Apr 16,977,802,8,175
Apr 17,1049,865,9,184
Apr 18,1089,865,11,224
Apr 19,1161,920,12,241
Apr 20,1173,909,13,264
Apr 21,1199,927,14,272
Apr 22,1244,946,14,298
Apr 23,1325,1022,15,303
Apr 24,1360,988,17,372
Apr 25,1373,970,17,403
Apr 26,1379,967,18,412
Apr 27,1381,960,18,421
Apr 28,1384,941,20,443
Apr 29,1391,885,22,506
Apr 30,1396,849,23,547
May 01,1403,822,23,581
May 02,1407,775,24,632
May 03,1408,765,24,643
May 04,1413,745,25,668
May 05,1421,655,25,766
May 06,1429,642,25,787
May 07,1445,613,26,832
May 08,1455,524,26,931
May 09,1455,510,26,945
May 10,1457,490,26,967
May 11,1457,472,26,985
May 12,1465,455,27,1010
May 13,1469,382,27,1087
May 14,1477,338,27,1139
May 15,1480,322,27,1158
May 16,1493,314,28,1179
May 17,1494,303,28,1191
May 18,1495,282,28,1213
May 19,1495,275,28,1220
May 20,1496,237,28,1259
May 21,1502,229,28,1273
May 22,1503,219,28,1284
May 23,1504,196,28,1308
May 24,1509,180,28,1329
May 25,1511,176,28,1335
May 26,1513,163,28,1350
May 27,1515,160,28,1355
May 28,1520,160,28,1360
May 29,1520,154,28,1366
May 30,1521,137,28,1384
May 31,1521,127,28,1394
Jun 01,1522,126,28,1396
Jun 02,1522,122,28,1400
Jun 03,1525,122,28,1403
Jun 04,1526,122,28,1404
Jun 05,1526,119,28,1407
Jun 06,1528,121,28,1407
Jun 07,1528,111,28,1417
Jun 08,1530,106,28,1424
Jun 09,1531,101,28,1430
Jun 10,1533,101,28,1432
Jun 11,1541,104,28,1437
Jun 12,1542,105,28,1437
Jun 13,1545,107,28,1438
