Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,2,2,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,3,3,0,0
Mar 31,5,4,0,1
Apr 01,5,4,0,1
Apr 02,5,4,0,1
Apr 03,7,6,0,1
Apr 04,7,6,0,1
Apr 05,7,6,0,1
Apr 06,7,6,0,1
Apr 07,8,7,0,1
Apr 08,12,10,1,2
Apr 09,12,10,1,2
Apr 10,21,19,1,2
Apr 11,21,19,1,2
Apr 12,25,22,1,3
Apr 13,60,56,2,4
Apr 14,60,56,2,4
Apr 15,80,73,5,7
Apr 16,80,73,5,7
Apr 17,116,108,6,8
Apr 18,135,126,7,9
Apr 19,164,154,7,10
Apr 20,237,225,8,12
Apr 21,286,274,8,12
Apr 22,286,274,8,12
Apr 23,328,304,16,24
Apr 24,328,304,16,24
Apr 25,390,364,18,26
Apr 26,436,403,23,33
Apr 27,480,444,26,36
Apr 28,528,481,28,47
Apr 29,582,534,28,48
Apr 30,601,542,28,59
May 01,601,542,28,59
May 02,671,606,31,65
May 03,722,646,32,76
May 04,756,660,35,96
May 05,835,722,38,113
May 06,873,747,39,126
May 07,928,778,44,150
May 08,928,778,44,150
May 09,997,839,48,158
May 10,1054,885,51,169
May 11,1089,916,52,173
May 12,1170,992,52,178
May 13,1219,1037,52,182
May 14,1284,1096,53,188
May 15,1284,1096,53,188
May 16,1357,1154,55,203
May 17,1421,1213,56,208
May 18,1455,1235,57,220
May 19,1502,1265,59,237
May 20,1573,1324,61,249
May 21,1594,1329,61,265
May 22,1594,1329,61,265
May 23,1594,1329,61,265
May 24,1594,1329,61,265
May 25,1689,1388,66,301
May 26,1711,1391,67,320
May 27,1731,1399,67,332
May 28,1828,1446,72,382
May 29,1828,1446,72,382
May 30,1916,1516,73,400
May 31,1976,1550,78,426
Jun 01,2023,1583,79,440
Jun 02,2089,1649,79,440
Jun 03,2146,1661,79,485
Jun 04,2204,1707,79,497
Jun 05,2204,1707,79,497
Jun 06,2289,1776,82,513
Jun 07,2334,1810,83,524
Jun 08,2368,1814,84,554
Jun 09,2416,1842,85,574
Jun 10,2452,1861,85,591
Jun 11,2513,1896,85,617
Jun 12,2513,1896,85,617
Jun 13,2579,1933,87,646
Jun 14,2618,1953,88,665
Jun 15,2642,1932,88,710
